Dealership,dealership_logo_url,dealership_footer_url,dealership_footer_alt,dealership_footer_phone,dealership_footer_text,new_inventory_footer_url,used_inventory_footer_url,service_footer_url,gubagoo_footer_url,instagram_footer_url,facebook_footer_url,showroom_footer_hours,service_footer_hours,Footer-address,New_Specials_url,Last_Chance_Url
Acura Thousand Oaks,https://enfoilk.stripocdn.email/content/guids/CABINET_971bbb5f59a2c161fb05ba832ab86ebe1f403e5848147dc274ffbe517bb95474/images/swickard_acura_of_thousand_oaks_w_1_1_qB6.png,https://www.swickardacuraofthousandoaks.com/,Acura Thousand Oaks,18053715800,1-805-371-5800,https://www.swickardacuraofthousandoaks.com/searchnew.aspx,https://www.swickardacuraofthousandoaks.com/searchused.aspx?Dealership=Swickard%20Acura%20Thousand%20Oaks,https://www.swickardacuraofthousandoaks.com/schedule-an-appointment.html,https://gubagoo.io/live-chat/136718?toolbar_id=1,https://www.instagram.com/acuraofthousandoaks/,https://www.facebook.com/AcuraThousandOaks/,"Monday - Saturday 9:00am - 8:00pm
<br>
Sunday 10:00am - 7:00pm","Monday - Friday 7:30am - 6:00pm
<br>
Saturday 7:30am - 4:00pm
<br>
Sunday Closed","3945 Auto Mall Dr., Thousand Oaks, CA 91362
",https://www.swickardacuraofthousandoaks.com/newspecials.html,https://www.swickardacuraofthousandoaks.com/last-chance-specials.html
Audi Bellingham,https://enfoilk.stripocdn.email/content/guids/CABINET_bcdc7e694da46fc3254c63e74b507a75010bb157a8e2194b32858d23fa6c08af/images/image_7R4.png,https://www.audibellingham.com/,Audi Bellingham,13607345230,1-360-734-5230,https://www.audibellingham.com/new-inventory/index.htm,https://www.audibellingham.com/used-inventory/index.htm,https://www.audibellingham.com/schedule-service-online.htm,https://gubagoo.io/live-chat/136796?toolbar_id=1,https://www.instagram.com/audibellingham/,https://www.facebook.com/AudiBellingham?_cl=MUfN0D9mp0ghYXcAo9rs2qaY,"Monday - Friday 9:00am - 7:00pm
<br>
Saturday 9:00am - 6:00pm
<br>
Sunday 10:00am - 5:00pm","Monday - Friday 7:30am - 5:00pm
<br>
Saturday 8:00am - 3:00pm
<br>
Sunday Closed","2200 Iowa St., Bellingham, WA 98229",https://www.audibellingham.com/promotions/new/index.htm,https://www.audibellingham.com/last-chance-specials.htm
Volkswagen Bellingham,https://enfoilk.stripocdn.email/content/guids/CABINET_2c2a69ccb6bd8c2b7cdd423d16f8720ec9774e2cc43bc8b0d94916ec1ab3fc67/images/swickard_volkswagen_of_bellingham_logo_b.png,https://www.volkswagenofbellingham.com/,Volkswagen Bellingham,13607345230,1-360-734-5230,https://www.volkswagenofbellingham.com/searchnew.aspx,https://www.volkswagenofbellingham.com/searchused.aspx,https://www.volkswagenofbellingham.com/schedule-service.html,https://gubagoo.io/live-chat/136790?toolbar_id=1,https://www.instagram.com/volkswagenbellingham/,https://www.facebook.com/VWofBellingham,"Monday - Friday 9:00 am - 7:00 pm
<br>
Saturday 9:00am - 6:00pm
Sunday 10:00am - 5:00pm","Monday - Friday 7:30am - 5:30pm
<br>
Saturday 8:00am - 3:00pm
<br>
Sunday - Closed","2200 Iowa St., Bellingham, WA 98229",https://www.volkswagenofbellingham.com/newspecials.html,https://www.volkswagenofbellingham.com/managers-pre-owned-specials.html
Audi Oakland,https://enfoilk.stripocdn.email/content/guids/CABINET_34e58626194c29c944be645fdb06f442f9efb896b57894cba911ce455d4147c6/images/audi_logo_w_red_IYI.png,https://www.audiofoakland.com/,Audi Oakland,15108662900,1-510-866-2900,https://www.audioakland.com/new-inventory/index.htm?accountId=audioakland2560websterstaoa,https://www.audioakland.com/used-inventory/index.htm?accountId=audioakland2560websterstaoa,https://www.audioakland.com/service/scheduler.htm,https://gubagoo.io/live-chat/125003?toolbar_id=1,https://www.instagram.com/swickardaudioakland/,https://www.facebook.com/audioakland,"Monday - Thursday 9:00 am - 7:00 pm
<br>
Friday - Saturday 9:00am - 8:00pm
<br>
Sunday - 10:00am-6:00pm","Monday - Friday 7:30am - 6:00pm
<br>
Saturday - 8:00am-4:00pm
<br>
Sunday - Closed","7201 Oakport St., Oakland, CA 94621
",https://www.audioakland.com/promotions/new/index.htm,https://www.audioakland.com/last-chance-specials.htm
Audi Palo Alto,https://enfoilk.stripocdn.email/content/guids/CABINET_3501b66b9d4cdf5e68a97f7100c5e38967a458a7f06523e5561e4b99ae8e9988/images/image_nZA.png,https://www.audipaloalto.com/,Audi Palo Alto,16508566300,1-650-856-6300,https://www.audipaloalto.com/new-inventory/index.htm?accountId=audipaloaltocaaoa,https://www.audipaloalto.com/used-inventory/index.htm?accountId=audipaloaltocaaoa,https://www.audipaloalto.com/schedule-service.htm,https://gubagoo.io/live-chat/124604?toolbar_id=7,https://www.instagram.com/audipaloalto/,https://www.facebook.com/SwickardAudiPaloAlto,"Monday - Saturday 9:00am - 7:00pm
<br>
Sunday - 10:00am-5:00pm","Monday - Friday 7:30am - 6:00pm
<br>
Saturday - 8:00am-4:00pm
<br>
Sunday - Closed","1730 Embarcadero Rd., Palo Alto, CA 94303

",https://www.audipaloalto.com/lease-specials.htm,https://www.audipaloalto.com/last-chance-specials.htm
BMW of Eugene,https://enfoilk.stripocdn.email/content/guids/CABINET_a82c84c6f5e5c07450865ebf42f6be87a2929b838f0a41378043fa43766b194e/images/bmw_of_eugene_logo_w.png,https://www.bmwofeugene.com/,BMW of Eugene,15413421763,1-541-342-1763,https://www.bmwofeugene.com/searchnew.aspx,https://www.bmwofeugene.com/searchused.aspx?Dealership=BMW%20of%20Eugene,https://www.bmwofeugene.com/schedule-service.html,https://gubagoo.io/live-chat/116752?toolbar_id=1,https://www.instagram.com/bmwofeugene/,https://www.facebook.com/bmweug/,"Monday - Saturday 9:00am - 7:00pm
<br>
Sunday 10:00am - 6:00pm","Monday - Friday 7:30am - 5:00pm
<br>
Saturday - 9:00am - 3:00pm
<br>
Sunday Closed.","2100 Martin Luther King Jr. Blvd., Eugene, OR 97401
",https://www.bmwofeugene.com/newspecials.html,https://www.bmwofeugene.com/last-chance-specials.html
BMW of Lynnwood,https://enfoilk.stripocdn.email/content/guids/CABINET_b3a953aa3e8d49d9cbcd43c817e56ddee03ceac5cde27baaf1776c979c1caff9/images/bmw_of_lynnwood_logo_w.png,https://www.swickardbmwlynnwood.com/,BMW of Lynnwood,14252980590,1-425-298-0590,https://www.bmwlynnwood.com/searchnew.aspx,https://www.bmwlynnwood.com/searchused.aspx,https://www.bmwlynnwood.com/service-department.html,https://gubagoo.io/live-chat/136706?toolbar_id=1,https://www.instagram.com/bmwlynnwood/,https://www.facebook.com/bmwlynnwood,"Monday - Saturday 9:00am - 7:00pm
<br>
Sunday 10:00am - 6:00pm","Monday - Friday 7:00am - 6:00pm
<br>
Saturday - 8:00am - 5:00pm
<br>
Sunday - Closed","18700 Hwy 99
Lynnwood, WA 98037",https://www.bmwlynnwood.com/newspecials.html,https://www.bmwlynnwood.com/last-chance-specials.html
Crown Toyota,https://enfoilk.stripocdn.email/content/guids/CABINET_a88c8ed495e30eddbf876116fec5d2a5f07d6c1ea1c8baa29e429d190a2b4c15/images/crown_toyota_logo_white_3.png,https://www.crowntoyota.com/,Crown Toyota,19093909700,1-909-390-9700,https://www.crowntoyota.com/searchnew.aspx,https://www.crowntoyota.com/used/,https://www.crowntoyota.com/schedule-service.html,https://gubagoo.io/live-chat/136712?toolbar_id=1,https://www.instagram.com/crowntoyota/,https://www.facebook.com/GoCrownToyota/,"Monday - Sunday 8:30am - 9:00pm

","Monday - Friday 7:00AM - 6:00PM
<br>
Saturday - 6:30AM - 5:00PM
<br>
Sunday Closed.","1201 Kettering Dr., Ontario, CA 91761


",https://www.crowntoyota.com/newspecials.html,https://www.crowntoyota.com/last-chance-specials.html
Gresham Toyota,https://enfoilk.stripocdn.email/content/guids/CABINET_f8cb45fcd1dc5149225f467589e77c090847a461b8415f4960b301e335ab48ce/images/image_RYP.png,https://www.greshamtoyota.com/,Gresham Toyota,15036671135,1-503-667-1135,https://www.greshamtoyota.com/searchnew.aspx,https://www.greshamtoyota.com/searchused.aspx?Dealership=Gresham%20Toyota,https://www.greshamtoyota.com/service-appointment,https://gubagoo.io/live-chat/114625?toolbar_id=4,https://www.instagram.com/greshamtoyota/,https://www.facebook.com/ToyotaGresham/,"Monday - Saturday 8:00AM - 8:00PM
<br>
Sunday - 10:00AM - 7:00PM","Monday - Saturday 7:00AM - 7:00PM
<br>
Sunday - Closed","950 NE Hogan Dr., Gresham, OR 97030

",https://www.greshamtoyota.com/newspecials.html,https://www.greshamtoyota.com/last-chance-specials.html
Cadillac Anchorage,https://enfoilk.stripocdn.email/content/guids/CABINET_a2b59f277eae1af8d3e2cab2cadf96bbd70300502f54ab72d5a9845f8aec6e51/images/cadillac_anchorage_1_b_jX8.png,https://www.cadillacanchorage.com/,Cadillac Anchorage,19078853045,1-907-885-3045,https://www.cadillacanchorage.com/searchnew.aspx,https://www.cadillacanchorage.com/searchused.aspx,https://www.cadillacanchorage.com/schedule-service,https://gubagoo.io/live-chat/138270?toolbar_id=1,https://www.instagram.com/cadillacanchorage/,https://www.facebook.com/cadillacanchorage,"Monday - Saturday 8:00AM - 8:00PM
<br>
Sunday - 11:00AM - 7:00PM","Monday - Friday 7:00AM - 6:00PM
<br>
Saturday - 8:00AM - 4:30PM
<br>
Sunday - Closed","1300 E 5th Ave., Anchorage, AK 99501
",https://www.cadillacanchorage.com/newspecials.html,https://www.cadillacanchorage.com/managers-pre-owned-specials.html
