Dealership,VDP_URL_1,Main_Photo,Make,Year_Model_Trim,Stock,Description,LeasePrice,DueAtSigning,LeaseTerm,disclaimer_1,PurchaseType,Luxury_Subject_Line,Luxury_Preheader,Lifestyle_Subject_Line,Lifestyle_Preheader,Hero_Disclaimer,Lifestyle_Body_Title,Lifestyle_Body,Hero_Image
LEASE EXAMPLE,https://www.audibellingham.com/new/Audi/2024-Audi-Q4+e-tron--d7862df0ac182326f0288cd393f91407.htm,https://cr.dealeron.us/assets/stock/Expanded/Transparent/640/2024AUS13_640/2024AUS130045_640_01.png,Audi,2024 Q4 e-tron 55 Premium Plus,Stock# P050479,"Plus Tax, Title, License",499,4999,36,"*2024 Q4 e-tron 55 Premium Plus: *Available only to qualified customers through Audi Financial Services at Audi Bellingham through Mon Mar 03 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $66340 with a net capitalized cost of $55781. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $17964. Cash due at signing includes $10559 capitalized cost reduction, $895 acquisition fee and first month’s lease payment of $499. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $19358. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 30000 miles and a $495 vehicle turn-in fee. Purchase option at lease end for $39140 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # P050479.Negotiable $200 doc fee.",Lease,", Experience Winning Offers Before Tariff Changes.",Opportunities are limited. Secure your exclusive offer during our March sales event.,", Anticipating tariff changes? Lock in your MVP Offer today! 🏆",Slam dunk prices on new inventory!,,,,
LEASE EXAMPLE,https://www.bmwlynnwood.com/offerdetails-New-Lynnwood-Washington-2025-BMW-iX-xDRIVE50-1390832,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025BMS35_01_640/cc_2025BMS350017_01_640_300.png,BMW,2025 iX xDRIVE50,7 Vehicles Available,"Plus Tax, Title, License",699,6419,36,"*2025 iX xDRIVE50: *Lease payment is calculated based on Manufacturer’s Suggested Retail Price for vehicle as shown and does not necessarily represent the dealer’s actual sale price. Dealer sets actual price. Please consult your selected dealer. Through March 02, 2025, lease offer available on new 2025 BMW iX xDrive50 models from participating BMW Centers through BMW Financial Services NA, LLC, to customers who meet BMW Financial Services' credit requirements. Offer not valid in Puerto Rico. Monthly lease payments of $699 per month for 36 months is based on an adjusted capitalized cost of $72,230 (MSRP of $90,925, including destination and handling fee of $1,175, less $4,795 capitalized cost reduction, $0 security deposit, suggested dealer contribution of $4,000 and Lease Credit of $9,900). Actual MSRP and dealer contribution may vary and could affect your monthly lease payment. Cash due at signing includes $4,795 capitalized cost reduction, $699 first month's payment, $925 acquisition fee and $0 security deposit. Lessee responsible for insurance during the lease term, excess wear and tear as defined in the lease contract, $0.30/mile over 30,000 miles, plus disposition fee of up to $495 (not to exceed an amount permissible by law) at lease end. Not all customers will qualify for security deposit waiver. Tax, title, license, registration and dealer fees are additional fees due at signing. Advertised monthly payment does not include applicable taxes. Purchase option price at lease end is $48,190, plus the purchase option fee disclosed in the lease contract. Additional tax, title, and government fees may also apply. Offer valid through March 02, 2025 and may be combined with other offers unless otherwise stated. Models pictured may be shown with metallic paint and/or additional accessories. Visit your authorized BMW Center for important details.",Lease,", Experience Winning Offers Before Tariff Changes.",Opportunities are limited. Secure your exclusive offer during our March sales event.,", Anticipating tariff changes? Lock in your MVP Offer today! 🏆",Slam dunk prices on new inventory!,,,,
APR EXAMPLE,https://www.swickardhonda.com/searchnew.aspx?ModelAndTrim=Prologue&st=Price+asc,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2024HOS09_01_640/cc_2024HOS090013_01_640_SX.png,Honda,2024 Prologue,25 Vehicles Available,For well-qualified buyers.,0%,,up to 72,"*2024 Honda Prologue: Available on approved credit through Honda Financial Services, 0% APR for up to 72 months on select new and unregistered 2024 Honda Prologue models through 3/3/2025. for well-qualified buyers. Not all buyers will qualify. Payments of $13.89 per month per $1,000 financed. Higher financing rates apply for buyers with lower credit ratings. Actual down payment may vary. Dealer participation may affect actual payment. Dealer sets actual prices. See participating dealers for details.",Finance,", Experience Winning Offers Before Tariff Changes.",Opportunities are limited. Secure your exclusive offer during our March sales event.,", Anticipating tariff changes? Lock in your MVP Offer today! 🏆",Slam dunk prices on new inventory!,,,,
APR EXAMPLE,https://www.audiofanchorage.com/new-inventory/index.htm?promotionId=67a25d0ac72da7475b19124a&year=2024&make=Audi&model=Q5%20e,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2024AUS02_01_640/cc_2024AUS021937827_01_640_H1H1.png,Audi,2024 Q5 e,10 Vehicles Available,,0.99%,,60,"*2024 Q5 e: 0.99% APR, no down payment required, available on new, unused 2024 Audi A6 45, A6 55, A8, S8, Q4 e-tron 50, Q4 e-tron 55, Q4 Sportback e-tron, Q5 S line 55 e, Q8/SQ8 e-tron, Q8/SQ8 Sportback e-tron, e-tron GT, and RS e-tron GT models financed by Audi Financial Services through participating dealers. Example: For 0.99% APR, monthly payment for every $1,000 you finance for 60 months is $17.09. Not all customers will qualify for credit approval or advertised APR. Offer ends March 3, 2025. Offer not valid in Puerto Rico. See your Audi dealer for details or, for general product information, call 1.800.FOR.AUDI (367.2834). © 2025 Audi of America, Inc.",Finance,", Experience Winning Offers Before Tariff Changes.",Opportunities are limited. Secure your exclusive offer during our March sales event.,", Anticipating tariff changes? Lock in your MVP Offer today! 🏆",Slam dunk prices on new inventory!,,,,
PRE-OWNED EXAMPLE,,,,,,,,,,,,", Experience Winning Offers Before Tariff Changes.",Opportunities are limited. Secure your exclusive offer during our March sales event.,", Anticipating tariff changes? Lock in your MVP Offer today! 🏆",Slam dunk prices on new inventory!,,,,
,,,,,,,,,,,,,,,,,,,
Acura Thousand Oaks,https://www.swickardacuraofthousandoaks.com/new-Thousand+Oaks-2024-Acura-ZDX-A+Spec+AWD-4W5KHNRL0RZ514311,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2024ACS13_01_640/cc_2024ACS131945624_01_640_WV.png,Acura,2024 ZDX FWD,Z514311,"Plus Tax, Title, License",479,2599,36,"*2024 ZDX AWD: Available only to qualified customers through Acura Financial Services at Acura of Thousand Oaks through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $70450 with a net capitalized cost of $42375. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $17244. Cash due at signing is $2599, which includes your first payment of $479. $595 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $8895. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $18318. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.2/mile over 30000 miles and a $350 vehicle turn-in fee. Purchase option at lease end for $28180 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Inventory is current at time of media release. Offer applies to Stock # Z514311.",Lease,,,,,"*2025 ADX FWD W/ A-Spec Package: Available only to qualified customers through Acura Financial Services at Acura of Thousand Oaks through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $39350 with a net capitalized cost of $35433. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $17244. Cash due at signing is $2499, which includes your first payment of $479. $595 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $1935. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $18318. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.2/mile over 30000 miles and a $350 vehicle turn-in fee. Purchase option at lease end for $23610 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Inventory is current at time of media release. Offer applies to Stock # M701760.",,,
Acura Thousand Oaks,https://www.swickardacuraofthousandoaks.com/new-Thousand+Oaks-2025-Acura-RDX-SH+AWD-5J8TC2H41SL021420,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025ACS12_01_640/cc_2025ACS121945320_01_640_RX.png,Acura,2025 RDX AWD,L021420D,"Plus Tax, Title, License",499,3399,36,"*2025 RDX SH-AWD: Includes down payment with no security deposit. Excludes taxes, titles, license and documentary service fees. For well-qualified lessees who currently own a 2015 or newer Acura, Audi, BMW, Buick, Cadillac, Chevrolet, Ford, Genesis, GMC, Honda, Hyundai, Infiniti, Kia, Lexus, Lincoln, Mazda, Mercedes-Benz, Nissan, Subaru, Tesla, Toyota, Volkswagen or Volvo vehicle.Excludes residents of IL. Subject to availability through June 30, 2025, on approved credit through Acura Financial Services. Closed-end lease for 2025 RDX SH-AWD 10 Speed Automatic vehicles (TC2H4SJNW). Lease offer only available to qualified current owners of a 2015 or newer Acura, Audi, BMW, Buick, Cadillac, Chevrolet, Ford, Genesis, GMC, Honda, Hyundai, Infiniti, Kia, Lexus, Lincoln, Mazda, Mercedes-Benz, Nissan, Subaru, Tesla, Toyota, Volkswagen or Volvo vehicle. Not all lessees will qualify. Higher lease rates apply for lessees with lower credit ratings. Lease offers vary based on MSRP. MSRP $46,050.00 (includes destination; excludes taxes, titles, license and documentary service fees). Actual net capitalized cost $38,510.00. Net capitalized cost includes $595 acquisition fee. Dealer contribution may vary and could affect actual lease payment. Total monthly payments are $16,164.00. Option to purchase at lease end $27,169.50. Dealers set actual prices. Must take new retail delivery of vehicle from dealer stock by June 30, 2025. Monthly payment and total due at lease signing calculated with $500 towards the capitalized cost reduction. Lessee is responsible for maintenance, excessive wear/tear and up to 20¢/mile over 10,000 miles/year. Not all customers qualify for Loyalty/Conquest offer. See your participating Acura dealer for complete details. Offer ends 06/30/2025..",Lease,,,,,"*2025 ADX FWD W/ A-Spec Package: Available only to qualified customers through Acura Financial Services at Acura of Thousand Oaks through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $39350 with a net capitalized cost of $35433. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $17244. Cash due at signing is $2499, which includes your first payment of $479. $595 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $1935. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $18318. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.2/mile over 30000 miles and a $350 vehicle turn-in fee. Purchase option at lease end for $23610 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Inventory is current at time of media release. Offer applies to Stock # M701760.",,,
,,,,,,,,,,,,,,,,,,,
Audi Anchorage (MANUAL BUILD),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
